ts,vault_id,count,mean_s194,stddev_s194
1679184000000,1003,5603,18.611814,2.3176568
1679184000000,1002,5634,22.889954,2.618975
1679184000000,1015,5481,26.147053,4.182253
1679184000000,1012,5630,30.422558,6.9330177
1679184000000,1004,5537,19.974174,2.7713838
1679184000000,1014,5467,26.231937,5.9817095
1679184000000,1019,5551,27.823635,5.3961487
1679184000000,1008,5558,29.669485,4.1376514
1679184000000,1013,5462,26.63658,4.6760216
1679184000000,1001,5447,18.538645,1.9166406
1679184000000,1009,5441,27.495682,3.2512887
1679184000000,1016,5457,27.002382,5.2421474
1679184000000,1010,5471,22.327728,2.8431675
1679184000000,1011,5473,26.365248,6.563369
1679184000000,1005,5539,21.455317,2.7460911
1679184000000,1006,5572,22.92552,3.7151368
1679184000000,1000,5538,22.374142,2.434137
1679184000000,1007,5508,25.983116,4.581891
1679184000000,1020,5448,26.391336,5.514859
1679184000000,1017,5473,28.280285,5.527369
1679184000000,1018,5472,27.777779,4.233192
