ts,vault_id1,failures1,failed_disks1,vault_id2,failures2,failed_disks2,vault_id3,failures3,failed_disks3,vault_id4,failures4,failed_disks4,vault_id5,failures5,failed_disks5,vault_id6,failures6,failed_disks6,vault_id7,failures7,failed_disks7,vault_id8,failures8,failed_disks8,vault_id9,failures9,failed_disks9,vault_id10,failures10,failed_disks10
1680307200000,1113,7,"['HGST HUH721212ALN604,8HK2SSMH', 'TOSHIBA MG07ACA14TA,10B0A01UF97G', 'TOSHIBA MG07ACA14TA,5080A117F97G', 'ST16000NM001G,ZL2NG0QS', 'ST8000NM0055,ZA174MEJ', 'ST14000NM001G,ZLW23XXZ', 'WDC WUH721816ALE6L4,2CKGS75N']",1157,2,"['ST16000NM001G,ZL22X4V3', 'ST16000NM001G,ZL23002G']",1140,2,"['ST12000NM001G,ZLW0GHRH', 'ST12000NM001G,ZLW0G7JD']",3003,2,"['WDC WUH721816ALE6L4,2PGSX5DV', 'WDC WUH721816ALE6L4,2BKB8LWN']",1030,2,"['HGST HMS5C4040BLE640,PL2331LAHAWKUJ', 'HGST HMS5C4040BLE640,PL2331LAHB99YJ']",1148,2,"['ST14000NM001G,ZLW18TT2', 'ST14000NM001G,ZLW18VBM']",1044,2,"['ST8000NM0055,ZA1801ZK', 'ST8000NM0055,ZA1819EV']",2000,1,"['TOSHIBA MG08ACA16TE,7170A0LGFVGG']",1135,1,"['ST12000NM0008,ZHZ4V6MY']",1061,1,"['HGST HUH721212ALE604,5PHP9BPD']"
1680393600000,1113,6,"['ST12000NM001G,ZLW0XG0E', 'ST500LM012 HN,S2ZYJ9CG108665', 'TOSHIBA MG07ACA14TA,20W0A0GHF97G', 'ST16000NM001G,ZL23Y45F', 'HGST HUH721212ALN604,AAG6VLMH', 'HGST HUH721212ALN604,8HKA2L7H']",1089,2,"['TOSHIBA MG07ACA14TA,61A0A1LAF97G', 'TOSHIBA MG07ACA14TA,61A0A0TYF97G']",1407,2,"['ST16000NM001G,ZL2MLTDP', 'ST16000NM001G,ZL2MD6HW']",1401,2,"['TOSHIBA MG07ACA14TA,5120A00ZF97G', 'TOSHIBA MG07ACA14TA,5120A0L6F97G']",1014,2,"['ST4000DM000,S301GTN0', 'ST4000DM000,Z304LBJE']",1075,1,"['ST14000NM001G,ZLW18SNJ']",1070,1,"['ST12000NM0008,ZHZ65QAY']",1059,1,"['TOSHIBA MG07ACA14TA,7090A02MF97G']",1048,1,"['HGST HMS5C4040ALE640,PL1331LAHGHBMH']",1037,1,"['ST8000DM002,ZA13Z44H']"
1680480000000,2016,3,"['CT250MX500SSD1,2205E606844B', 'TOSHIBA MG08ACA16TEY,71R0A1AMFV8G', 'TOSHIBA MG08ACA16TEY,81W0A0UUFV8G']",1102,2,"['ST12000NM0008,ZHZ65QR7', 'ST12000NM001G,ZLW0WA43']",1099,2,"['ST12000NM001G,ZL2GCY4N', 'ST12000NM001G,ZLW0XRPJ']",1005,2,"['ST4000DM004,ZTT3RXLZ', 'ST4000DM000,S300XANL']",1095,1,"['TOSHIBA MG07ACA14TA,40M0A0B6F97G']",1114,1,"['ST12000NM0008,ZL005DC5']",1136,1,"['ST12000NM0008,ZHZ62GTW']",1129,1,"['HGST HUH721212ALE604,8HH6WTSH']",1117,1,"['TOSHIBA MG07ACA14TA,70L0A051F97G']",2010,1,"['WDC WUH721816ALE6L0,2BJDDNKD']"
1680566400000,1007,2,"['ST4000DM000,S300X9R4', 'ST4000DM000,Z302AKP4']",2004,2,"['TOSHIBA MG08ACA16TEY,60P0A028FV8G', 'ST16000NM001G,ZL2LGH2K']",1132,2,"['ST12000NM0008,ZHZ3RKKD', 'ST12000NM0008,ZHZ3QFNY']",1135,2,"['ST12000NM001G,ZL25NNSW', 'ST12000NM0008,ZHZ50XSW']",1058,2,"['HGST HUH721212ALE604,5PHRKDBD', 'HGST HUH721212ALE604,5PHHHDZD']",1089,2,"['TOSHIBA MG07ACA14TA,6190A04DF97G', 'TOSHIBA MG07ACA14TA,61A0A11WF97G']",1049,2,"['HGST HMS5C4040BLE640,PL1331LAHBYAKH', 'HGST HMS5C4040BLE640,PL2331LAHB8VHJ']",1154,1,"['TOSHIBA MG07ACA14TEY,1080A0SQF9RG']",1073,1,"['TOSHIBA MG07ACA14TA,40M0A05HF97G']",1126,1,"['HGST HUH721212ALN604,AAG6TAKH']"
1680652800000,1073,2,"['TOSHIBA MG07ACA14TA,12F0A001F97G', 'TOSHIBA MG07ACA14TA,40L0A037F97G']",1117,2,"['TOSHIBA MG07ACA14TA,70E0A019F97G', 'TOSHIBA MG07ACA14TA,2090A009F97G']",1132,2,"['ST12000NM0008,ZHZ3SP24', 'ST12000NM0008,ZHZ3QFAY']",1114,2,"['ST12000NM0008,ZL005DQT', 'ST12000NM0008,ZL005E23']",1091,2,"['ST8000NM0055,ZA18159D', 'ST8000NM0055,ZA181K21']",1120,2,"['HGST HUH721212ALN604,AAG6E5RH', 'HGST HUH721212ALN604,AAG67V0H']",1043,2,"['ST8000NM0055,ZA13EX13', 'ST8000NM0055,ZA13EW88']",1013,2,"['ST4000DM000,Z304LBBT', 'ST4000DM000,Z303RGZE']",1051,1,"['HGST HMS5C4040BLE640,PL2331LAHBU78J']",1059,1,"['TOSHIBA MG07ACA14TA,70E0A12KF97G']"
1680739200000,1123,3,"['HGST HUH721212ALN604,AAG26LSH', 'HGST HUH721212ALN604,AAG6KGSH', 'HGST HUH721212ALN604,8HKW9EVH']",1143,2,"['TOSHIBA MG07ACA14TA,40X0A04RF97G', 'TOSHIBA MG07ACA14TA,40N0A0M5F97G']",1114,2,"['ST12000NM0008,ZL004QT8', 'HGST HUH721212ALE604,5PJAG8BF']",2010,2,"['ST16000NM001G,ZL2NG0FQ', 'ST16000NM001G,ZL2NFYD0']",1058,2,"['HGST HUH721212ALE604,5PHNZS8D', 'HGST HUH721212ALE604,5PHR0LND']",1019,2,"['ST4000DM000,Z305D5BP', 'ST4000DM000,Z305D68B']",1079,2,"['WDC WUH721414ALE6L4,Y5HWVASC', 'WDC WUH721414ALE6L4,Y5HY02UC']",2001,1,"['TOSHIBA MG08ACA16TE,7190A0B7FVGG']",2004,1,"['TOSHIBA MG08ACA16TEY,7030A004FV8G']",1065,1,"['ST12000NM0008,ZHZ50XEH']"
1680825600000,1137,2,"['ST12000NM0008,ZL004QYR', 'ST12000NM0008,ZHZ65QDN']",1094,2,"['TOSHIBA MG07ACA14TA,7020A02FF97G', 'TOSHIBA MG07ACA14TA,1040A00BF97G']",1079,2,"['WDC WUH721414ALE6L4,9MG6EYBJ', 'WDC WUH721414ALE6L4,9MG6SMWJ']",1049,2,"['HGST HMS5C4040BLE640,PL1331LAHBGJ0H', 'HGST HMS5C4040BLE640,PL1331LAHBRMJH']",1017,2,"['ST4000DM000,Z304RDML', 'ST4000DM000,Z305B6VE']",1013,1,"['ST4000DM000,Z303XYBZ']",1039,1,"['ST8000NM0055,ZA16DSNG']",1101,1,"['ST12000NM001G,ZL2GT0ZQ']",1068,1,"['ST12000NM0008,ZHZ636GJ']",1113,1,"['HGST HUH721212ALN604,8HKHLYHH']"
1680912000000,1126,3,"['HGST HUH721212ALN604,AAG7410H', 'HGST HUH721212ALN604,AAGXLJ9H', 'HGST HUH721212ALN604,AAHH0NAH']",1089,2,"['TOSHIBA MG07ACA14TA,51D0A006F97G', 'TOSHIBA MG07ACA14TA,6190A00HF97G']",1096,2,"['HGST HUH728080ALE600,VKGL4PRX', 'HGST HUH728080ALE600,VKGK2TAX']",1102,2,"['ST12000NM001G,ZLW187RL', 'ST12000NM001G,ZLW0H2KM']",1064,2,"['ST12000NM0008,ZHZ2JX6X', 'ST12000NM0008,ZHZ3S7NH']",1093,1,"['ST10000NM0086,ZA21AJMK']",1000,1,"['HGST HMS5C4040ALE640,PL2331LAGPAT2J']",1098,1,"['ST500LM012 HN,S2ZYJ9CF715326']",1157,1,"['ST16000NM001G,ZL22ZXG7']",1038,1,"['ST8000DM002,ZA13R3JZ']"
1680998400000,1091,2,"['ST8000NM0055,ZA18146N', 'ST8000NM0055,ZA180RG2']",1143,2,"['TOSHIBA MG07ACA14TA,40X0A09YF97G', 'TOSHIBA MG07ACA14TA,40X0A0XCF97G']",1105,2,"['HGST HUH721212ALE604,8HGYPXSH', 'HGST HUH721212ALE604,8DHDB38H']",1035,2,"['ST8000DM002,ZA12FV3G', 'ST8000DM002,ZA12KYYG']",1036,2,"['ST8000DM002,ZA13YY0B', 'ST8000DM002,ZA142RE5']",1142,1,"['ST12000NM001G,ZLW0D1S0']",1077,1,"['WDC WUH721414ALE6L4,X1G9KSKL']",1034,1,"['ST8000DM002,ZA10NDW2']",1150,1,"['WDC WUH721414ALE6L4,X0GEGYDC']",1084,1,"['ST16000NM001G,ZL23117C']"
1681084800000,2000,2,"['HGST HUH721212ALE600,8CGKTY0G', 'HGST HUH721212ALE600,8CGJVXVG']",1048,2,"['HGST HMS5C4040ALE640,PL1331LAHGXNMH', 'HGST HMS5C4040ALE640,PL1331LAGA9S8H']",1064,2,"['ST12000NM0008,ZHZ4LFR9', 'ST12000NM0008,ZHZ4Y63V']",1037,2,"['ST8000DM002,ZA13R7MY', 'ST8000DM002,ZA12YRC4']",1407,2,"['ST16000NM001G,ZL2MEHV3', 'ST16000NM001G,ZL2MKRZW']",1109,2,"['TOSHIBA MG07ACA14TA,3080A020F97G', 'TOSHIBA MG07ACA14TA,20W0A0LWF97G']",2009,2,"['WDC WUH721816ALE6L0,2CJA42LN', 'ST16000NM001G,ZL232KRV']",1026,1,"['HGST HMS5C4040BLE640,PL2331LAHDUHHJ']",1086,1,"['ST14000NM001G,ZL2C3029']",2008,1,"['TOSHIBA MG08ACA16TA,8190A0WCFVKG']"
