date,serial_number,model,failure,vault_id,s1_read_error_rate,s2_throughput_performance,s3_spin_up_time,s4_start_stop_count,s5_reallocated_sector_count,s7_seek_error_rate,s8_seek_time_performance,s9_power_on_hours,s10_spin_retry_count,s12_power_cycle_count,s173_wear_leveling_count,s174_unexpected_power_loss_count,s183_sata_downshift_count,s187_reported_uncorrectable_errors,s188_command_timeout,s189_high_fly_writes,s190_airflow_temperature_cel,s191_g_sense_error_rate,s192_power_off_retract_count,s193_load_unload_cycle_count,s194_temperature_celsius,s195_hardware_ecc_recovered,s196_reallocated_event_count,s197_current_pending_sector,s198_offline_uncorrectable,s199_udma_crc_error_count,s200_multi_zone_error_rate,s220_disk_shift,s222_loaded_hours,s223_load_retry_count,s226_load_in_time,s240_head_flying_hours,s241_total_lbas_written,s242_total_lbas_read
2023-04-01T00:00:00.000000,8HK2SSMH,HGST HUH721212ALN604,0,1113,0.0,96.0,396.0,24.0,0.0,0.0,18.0,38445.0,0.0,24.0,,,,,,,,,1613.0,1613.0,31.0,,0.0,0.0,0.0,0.0,,,,,,,,
2023-04-01T00:00:00.000000,10B0A01UF97G,TOSHIBA MG07ACA14TA,0,1067,0.0,0.0,7889.0,7.0,0.0,0.0,0.0,27425.0,0.0,7.0,,,,,,,,1.0,1.0,64.0,32.0,,0.0,0.0,0.0,0.0,,17956865.0,27325.0,0.0,592.0,0.0,,
2023-04-01T00:00:00.000000,5080A117F97G,TOSHIBA MG07ACA14TA,0,1095,0.0,0.0,7872.0,8.0,0.0,0.0,0.0,18029.0,0.0,8.0,,,,,,,,234.0,5.0,14.0,36.0,,0.0,0.0,0.0,0.0,,34996225.0,17990.0,0.0,590.0,0.0,,
2023-04-01T00:00:00.000000,ZL2NG0QS,ST16000NM001G,0,2010,111109104.0,,0.0,4.0,0.0,241260649.0,,6059.0,0.0,4.0,,,,0.0,0.0,,36.0,,2.0,1202.0,36.0,,,0.0,0.0,0.0,0.0,,,,,5552.0,71191550192.0,96888789481.0
2023-04-01T00:00:00.000000,ZA174MEJ,ST8000NM0055,0,1053,66284024.0,,0.0,9.0,0.0,2036452678.0,,50273.0,0.0,9.0,,,,0.0,0.0,0.0,38.0,17813.0,108.0,19962.0,38.0,66284024.0,,0.0,0.0,0.0,,,,,,50195.0,91575498344.0,714126007594.0
2023-04-01T00:00:00.000000,ZLW23XXZ,ST14000NM001G,0,1163,4563904.0,,0.0,2.0,0.0,78155066.0,,14862.0,0.0,2.0,,,,0.0,0.0,,36.0,,0.0,1657.0,36.0,,,0.0,0.0,0.0,0.0,,,,,14432.0,84650461280.0,209299912198.0
2023-04-01T00:00:00.000000,2CKGS75N,WDC WUH721816ALE6L4,0,2011,0.0,96.0,342.0,13.0,0.0,0.0,15.0,5654.0,0.0,13.0,,,,,,,,,463.0,463.0,34.0,,0.0,0.0,0.0,0.0,,,,,,,,
2023-04-01T00:00:00.000000,7170A0LGFVGG,TOSHIBA MG08ACA16TE,0,2000,0.0,0.0,7943.0,11.0,0.0,0.0,0.0,13211.0,0.0,11.0,,,,,,,,0.0,10.0,895.0,40.0,,0.0,0.0,0.0,0.0,,184811523.0,12606.0,0.0,590.0,0.0,,
2023-04-01T00:00:00.000000,3RJYLNJA,WDC WUH721816ALE6L4,0,2016,0.0,96.0,345.0,12.0,0.0,0.0,18.0,1195.0,0.0,12.0,,,,,,,,,690.0,690.0,45.0,,0.0,0.0,0.0,0.0,,,,,,,,
2023-04-01T00:00:00.000000,ZHZ4V6MY,ST12000NM0008,0,1135,27224416.0,,0.0,12.0,0.0,772080398.0,,28755.0,0.0,12.0,,,,0.0,0.0,,40.0,,3.0,10102.0,40.0,27224416.0,,0.0,0.0,0.0,0.0,,,,,26669.0,97415413432.0,329614620448.0
